id,added_at,album_type,artist,name,personal_type,popularity,release_date,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
2uaiyLKnYvazyfR0Ky3Kbk,2018-09-14T00:10:06Z,single,Alec Benjamin,Let Me Down Slowly,favourite,81,2018-05-25,0.733,https://api.spotify.com/v1/audio-analysis/2uaiyLKnYvazyfR0Ky3Kbk,0.649,169181,0.548,0.0,1,0.136,-5.692,0,0.0318,150.036,4,https://api.spotify.com/v1/tracks/2uaiyLKnYvazyfR0Ky3Kbk,audio_features,spotify:track:2uaiyLKnYvazyfR0Ky3Kbk,0.506
7hDVYcQq6MxkdJGweuCtl9,2018-09-14T00:10:06Z,single,Billie Eilish,dont smile at me,favourite,83,2017-12-22,0.816,https://api.spotify.com/v1/audio-analysis/7hDVYcQq6MxkdJGweuCtl9,0.511,200379,0.363,0.0317,4,0.084,-7.65,0,0.041,144.892,4,https://api.spotify.com/v1/tracks/7hDVYcQq6MxkdJGweuCtl9,audio_features,spotify:track:7hDVYcQq6MxkdJGweuCtl9,0.169
7KhFav8oR1M3VKUJbwjJwC,2018-09-14T00:10:06Z,single,Flight Facilities,All Your Love,favourite,61,2018-05-30,0.43,https://api.spotify.com/v1/audio-analysis/7KhFav8oR1M3VKUJbwjJwC,0.648,285005,0.752,0.12,5,0.112,-9.1,1,0.0456,119.931,4,https://api.spotify.com/v1/tracks/7KhFav8oR1M3VKUJbwjJwC,audio_features,spotify:track:7KhFav8oR1M3VKUJbwjJwC,0.232
1dCaGOuFc0Auyt58nQBLj2,2018-09-14T00:10:06Z,single,Vince Harder,Colours,favourite,52,2018-07-27,0.465,https://api.spotify.com/v1/audio-analysis/1dCaGOuFc0Auyt58nQBLj2,0.358,182508,0.712,0.0,7,0.343,-3.978,1,0.0824,84.842,4,https://api.spotify.com/v1/tracks/1dCaGOuFc0Auyt58nQBLj2,audio_features,spotify:track:1dCaGOuFc0Auyt58nQBLj2,0.45
1NbGcdgwRHZ5rbPIT9hdR3,2018-09-14T00:10:06Z,single,Troye Sivan,Dance To This (feat. Ariana Grande),favourite,81,2018-06-13,0.00632,https://api.spotify.com/v1/audio-analysis/1NbGcdgwRHZ5rbPIT9hdR3,0.736,231847,0.756,0.00577,11,0.106,-7.099,1,0.047,117.016,4,https://api.spotify.com/v1/tracks/1NbGcdgwRHZ5rbPIT9hdR3,audio_features,spotify:track:1NbGcdgwRHZ5rbPIT9hdR3,0.712
6otudTOrybSiD3ig7RPrAj,2018-09-14T00:10:06Z,album,Matthew Young,Fruit,favourite,52,2018-05-25,0.0798,https://api.spotify.com/v1/audio-analysis/6otudTOrybSiD3ig7RPrAj,0.666,250531,0.72,0.0,6,0.0879,-5.061,1,0.0584,138.018,4,https://api.spotify.com/v1/tracks/6otudTOrybSiD3ig7RPrAj,audio_features,spotify:track:6otudTOrybSiD3ig7RPrAj,0.815
3JJYIoJ5FyY9E0DGjr7SXF,2018-09-14T00:10:06Z,album,Lauv,I met you when I was 18. (the playlist),favourite,80,2018-05-31,0.175,https://api.spotify.com/v1/audio-analysis/3JJYIoJ5FyY9E0DGjr7SXF,0.696,194755,0.693,0.0,3,0.122,-4.64,1,0.044,126.025,4,https://api.spotify.com/v1/tracks/3JJYIoJ5FyY9E0DGjr7SXF,audio_features,spotify:track:3JJYIoJ5FyY9E0DGjr7SXF,0.601
7FVGIPgLMDChTffvG2LuHV,2018-09-14T00:10:06Z,single,King Princess,Make My Bed,favourite,70,2018-06-15,0.134,https://api.spotify.com/v1/audio-analysis/7FVGIPgLMDChTffvG2LuHV,0.614,174667,0.585,0.000129,10,0.0948,-9.483,1,0.164,169.905,4,https://api.spotify.com/v1/tracks/7FVGIPgLMDChTffvG2LuHV,audio_features,spotify:track:7FVGIPgLMDChTffvG2LuHV,0.211
0xzShnEP4tfjyNpCzzq1e2,2018-09-14T00:10:06Z,album,Kings,Two,favourite,56,2018-05-11,0.668,https://api.spotify.com/v1/audio-analysis/0xzShnEP4tfjyNpCzzq1e2,0.845,173666,0.413,0.00293,2,0.0995,-9.459,1,0.135,96.918,4,https://api.spotify.com/v1/tracks/0xzShnEP4tfjyNpCzzq1e2,audio_features,spotify:track:0xzShnEP4tfjyNpCzzq1e2,0.352
0p1haRZ5xHBNwR9TxMMf8w,2018-09-14T00:10:06Z,single,Sasha Sloan,Hurt,favourite,57,2018-03-15,0.52,https://api.spotify.com/v1/audio-analysis/0p1haRZ5xHBNwR9TxMMf8w,0.715,180031,0.513,0.0049,0,0.135,-9.506,1,0.183,136.029,4,https://api.spotify.com/v1/tracks/0p1haRZ5xHBNwR9TxMMf8w,audio_features,spotify:track:0p1haRZ5xHBNwR9TxMMf8w,0.372
09YmRChTqa8Mg5dcZYxs5G,2018-09-14T00:10:06Z,single,Kllo,Potential,favourite,54,2018-05-16,0.0807,https://api.spotify.com/v1/audio-analysis/09YmRChTqa8Mg5dcZYxs5G,0.603,208930,0.574,0.107,7,0.111,-5.712,1,0.0398,156.007,4,https://api.spotify.com/v1/tracks/09YmRChTqa8Mg5dcZYxs5G,audio_features,spotify:track:09YmRChTqa8Mg5dcZYxs5G,0.198
3EI0enDbIC929m27v4zAIk,2018-09-14T00:10:06Z,single,Eves Karydas,Couch,favourite,56,2018-05-18,0.0294,https://api.spotify.com/v1/audio-analysis/3EI0enDbIC929m27v4zAIk,0.7,214600,0.635,0.0551,5,0.106,-6.613,1,0.0478,100.184,4,https://api.spotify.com/v1/tracks/3EI0enDbIC929m27v4zAIk,audio_features,spotify:track:3EI0enDbIC929m27v4zAIk,0.303
45w70aQhNwke1yrQZO0ffm,2018-09-14T00:10:06Z,single,Glades,Do Right,favourite,68,2017-12-15,0.063,https://api.spotify.com/v1/audio-analysis/45w70aQhNwke1yrQZO0ffm,0.752,194989,0.679,0.0,3,0.0727,-6.464,1,0.0304,106.99,4,https://api.spotify.com/v1/tracks/45w70aQhNwke1yrQZO0ffm,audio_features,spotify:track:45w70aQhNwke1yrQZO0ffm,0.669
5khPq0vRppL9gco0IEMJh6,2018-09-14T00:10:06Z,single,Cosmo's Midnight,Get To Know,favourite,58,2018-02-16,0.119,https://api.spotify.com/v1/audio-analysis/5khPq0vRppL9gco0IEMJh6,0.725,241651,0.534,0.00227,8,0.0782,-11.899,1,0.235,109.079,4,https://api.spotify.com/v1/tracks/5khPq0vRppL9gco0IEMJh6,audio_features,spotify:track:5khPq0vRppL9gco0IEMJh6,0.442
6tHWl8ows5JOZq9Yfaqn3M,2018-09-14T00:10:06Z,single,Bazzi,Mine,favourite,43,2017-10-12,0.014,https://api.spotify.com/v1/audio-analysis/6tHWl8ows5JOZq9Yfaqn3M,0.716,133995,0.805,3.1e-06,4,0.291,-3.839,1,0.0856,142.886,4,https://api.spotify.com/v1/tracks/6tHWl8ows5JOZq9Yfaqn3M,audio_features,spotify:track:6tHWl8ows5JOZq9Yfaqn3M,0.719
