index,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,title,artist
20,0.035,https://api.spotify.com/v1/audio-analysis/6vN77lE9LK6HP2DewaN6HZ,0.964,142273,0.346,6vN77lE9LK6HP2DewaN6HZ,0.0,5,0.108,-9.309,0,0.53,119.958,4,https://api.spotify.com/v1/tracks/6vN77lE9LK6HP2DewaN6HZ,audio_features,spotify:track:6vN77lE9LK6HP2DewaN6HZ,0.562,Yes Indeed,Lil Baby & Drake
21,0.0984,https://api.spotify.com/v1/audio-analysis/514rhnksEwHUh6LxXsQ4Y9,0.6,210240,0.683,514rhnksEwHUh6LxXsQ4Y9,1.26e-06,6,0.11,-6.271,1,0.0493,102.036,4,https://api.spotify.com/v1/tracks/514rhnksEwHUh6LxXsQ4Y9,audio_features,spotify:track:514rhnksEwHUh6LxXsQ4Y9,0.494,Back To You,Selena Gomez
22,0.0441,https://api.spotify.com/v1/audio-analysis/2XTquzYQAdT1Hk78bOUwsv,0.809,226938,0.737,2XTquzYQAdT1Hk78bOUwsv,0.0,1,0.341,-5.186,1,0.108,80.025,4,https://api.spotify.com/v1/tracks/2XTquzYQAdT1Hk78bOUwsv,audio_features,spotify:track:2XTquzYQAdT1Hk78bOUwsv,0.367,Greatest,Eminem
23,0.0692,https://api.spotify.com/v1/audio-analysis/28FGV3ORH14MYORd7s5dlU,0.904,288087,0.756,28FGV3ORH14MYORd7s5dlU,0.0,10,0.339,-3.746,1,0.32,140.005,4,https://api.spotify.com/v1/tracks/28FGV3ORH14MYORd7s5dlU,audio_features,spotify:track:28FGV3ORH14MYORd7s5dlU,0.342,Not Alike,Eminem Featuring Royce Da 5'9
24,0.163,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,0.599,263400,0.448,0tgVpDi06FyKpA1z0VMD4v,0.0,8,0.106,-6.312,1,0.0232,95.05,3,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,audio_features,spotify:track:0tgVpDi06FyKpA1z0VMD4v,0.168,Perfect,Ed Sheeran
25,0.047,https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn,0.643,163870,0.783,7iDa6hUg2VgEL1o1HjmfBn,0.0,10,0.083,-6.458,1,0.0856,154.084,4,https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn,audio_features,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,0.579,Meant To Be,Bebe Rexha & Florida Georgia Line
26,0.00552,https://api.spotify.com/v1/audio-analysis/0ZNrc4kNeQYD9koZ3KvCsy,0.745,237240,0.346,0ZNrc4kNeQYD9koZ3KvCsy,0.0,1,0.0881,-7.709,1,0.331,203.911,4,https://api.spotify.com/v1/tracks/0ZNrc4kNeQYD9koZ3KvCsy,audio_features,spotify:track:0ZNrc4kNeQYD9koZ3KvCsy,0.112,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj"
27,0.58,https://api.spotify.com/v1/audio-analysis/3swc6WTsr7rl9DqQKQA55C,0.739,221440,0.559,3swc6WTsr7rl9DqQKQA55C,0.0,8,0.112,-8.011,1,0.117,140.124,4,https://api.spotify.com/v1/tracks/3swc6WTsr7rl9DqQKQA55C,audio_features,spotify:track:3swc6WTsr7rl9DqQKQA55C,0.439,Psycho,Post Malone Featuring Ty Dolla $ign
28,0.216,https://api.spotify.com/v1/audio-analysis/6NFyWDv5CjfwuzoCkw47Xf,0.75,232253,0.404,6NFyWDv5CjfwuzoCkw47Xf,0.000357,9,0.0911,-10.178,0,0.0682,95.045,4,https://api.spotify.com/v1/tracks/6NFyWDv5CjfwuzoCkw47Xf,audio_features,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,0.0499,Delicate,Taylor Swift
29,0.00281,https://api.spotify.com/v1/audio-analysis/04ZTP5KsCypmtCmQg5tH9R,0.63,195519,0.694,04ZTP5KsCypmtCmQg5tH9R,0.0,11,0.0719,-6.257,0,0.0253,97.005,4,https://api.spotify.com/v1/tracks/04ZTP5KsCypmtCmQg5tH9R,audio_features,spotify:track:04ZTP5KsCypmtCmQg5tH9R,0.216,BEBE,6ix9ine Featuring Anuel AA
30,0.0891,https://api.spotify.com/v1/audio-analysis/3CA9pLiwRIGtUBiMjbZmRw,0.586,210747,0.909,3CA9pLiwRIGtUBiMjbZmRw,0.000109,8,0.119,-6.474,1,0.0705,93.394,4,https://api.spotify.com/v1/tracks/3CA9pLiwRIGtUBiMjbZmRw,audio_features,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,0.757,Nice For What,Drake
31,0.214,https://api.spotify.com/v1/audio-analysis/7noud145AHZGg74vpWOsCa,0.717,217118,0.605,7noud145AHZGg74vpWOsCa,0.0,11,0.138,-5.68,0,0.075,81.047,4,https://api.spotify.com/v1/tracks/7noud145AHZGg74vpWOsCa,audio_features,spotify:track:7noud145AHZGg74vpWOsCa,0.387,Trip,Ella Mai
32,0.535,https://api.spotify.com/v1/audio-analysis/1wjzFQodRWrPcQ0AnYnvQ9,0.752,197437,0.505,1wjzFQodRWrPcQ0AnYnvQ9,2.55e-06,9,0.104,-7.621,1,0.253,91.97,4,https://api.spotify.com/v1/tracks/1wjzFQodRWrPcQ0AnYnvQ9,audio_features,spotify:track:1wjzFQodRWrPcQ0AnYnvQ9,0.419,I Like Me Better,Lauv
33,0.555,https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao,0.56,173800,0.68,0d2iYfpKoM0QCKvcLCkBao,0.0,6,0.116,-7.648,0,0.321,89.391,4,https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao,audio_features,spotify:track:0d2iYfpKoM0QCKvcLCkBao,0.319,Eastside,"Benny Blanco, Halsey & Khalid"
34,0.171,https://api.spotify.com/v1/audio-analysis/09IStsImFySgyp0pIQdqAc,0.753,184732,0.657,09IStsImFySgyp0pIQdqAc,0.0,7,0.112,-3.061,1,0.0449,107.01,4,https://api.spotify.com/v1/tracks/09IStsImFySgyp0pIQdqAc,audio_features,spotify:track:09IStsImFySgyp0pIQdqAc,0.437,The Middle,"Zedd, Maren Morris & Grey"
35,0.258,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,0.74,166606,0.613,3ee8Jmje8o58CHK66QrVC2,0.00372,8,0.123,-4.88,1,0.145,75.023,4,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,audio_features,spotify:track:3ee8Jmje8o58CHK66QrVC2,0.473,Sad!,XXXTENTACION
36,0.0332,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn,0.754,198973,0.449,6DCZcSspjsKoFjzjrWoCdn,8.29e-05,7,0.552,-9.211,1,0.109,77.169,4,https://api.spotify.com/v1/tracks/6DCZcSspjsKoFjzjrWoCdn,audio_features,spotify:track:6DCZcSspjsKoFjzjrWoCdn,0.357,God's Plan,Drake
37,0.0292,https://api.spotify.com/v1/audio-analysis/7Il2yWQmsqKgSkLQvHTPUI,0.474,195987,0.594,7Il2yWQmsqKgSkLQvHTPUI,0.0,11,0.133,-5.756,1,0.0289,86.131,4,https://api.spotify.com/v1/tracks/7Il2yWQmsqKgSkLQvHTPUI,audio_features,spotify:track:7Il2yWQmsqKgSkLQvHTPUI,0.503,Tequila,Dan + Shay
38,0.261,https://api.spotify.com/v1/audio-analysis/0evt4UZbdhnHtcAnxkm6A1,0.907,222477,0.64,0evt4UZbdhnHtcAnxkm6A1,0.0,6,0.0785,-6.542,1,0.354,120.995,4,https://api.spotify.com/v1/tracks/0evt4UZbdhnHtcAnxkm6A1,audio_features,spotify:track:0evt4UZbdhnHtcAnxkm6A1,0.803,Normal,Eminem
